Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-30,BRITANNIA,EQ,3180.05,3197.0,3222.0,3180.1,3212.0,3208.8,3207.4,116521,37372912470000.0,15198,45192,0.38780000000000003
2019-01-31,BRITANNIA,EQ,3208.8,3231.95,3231.95,3189.2,3195.0,3197.7,3201.84,255273,81734293735000.0,30247,170674,0.6686
2019-02-01,BRITANNIA,EQ,3197.7,3201.0,3286.0,3201.0,3254.9,3251.0,3236.06,387188,125296533980000.0,37147,209493,0.5411
2019-02-04,BRITANNIA,EQ,3251.0,3251.35,3280.4,3228.2,3268.05,3266.0,3257.37,140277,45693403945000.0,21522,56327,0.40149999999999997
2019-02-05,BRITANNIA,EQ,3266.0,3278.0,3316.0,3150.1,3170.0,3167.05,3231.58,503959,162858260395000.0,37214,211312,0.4193
2019-02-06,BRITANNIA,EQ,3167.05,3188.5,3199.95,3105.05,3199.95,3181.4,3155.11,313476,98905216635000.0,30529,148428,0.47350000000000003
2019-02-07,BRITANNIA,EQ,3181.4,3210.0,3230.0,3174.1,3210.0,3214.1,3202.82,374133,119828097045000.0,30977,159553,0.4265
2019-02-08,BRITANNIA,EQ,3214.1,3138.5,3210.0,3095.0,3121.0,3110.0,3136.32,640983,201033015335000.0,45517,288636,0.45030000000000003
2019-02-11,BRITANNIA,EQ,3110.0,3120.0,3132.3,3055.3,3119.9,3107.55,3105.67,265355,82410463790000.0,22614,98416,0.37090000000000006
2019-02-12,BRITANNIA,EQ,3107.55,3105.0,3107.0,3001.0,3014.9,3008.6,3028.5,515301,156058859105000.0,48327,272680,0.5292
2019-02-13,BRITANNIA,EQ,3008.6,3015.0,3034.8,2907.0,2912.0,2923.4,2957.75,504157,149117008590000.0,69212,278770,0.5529000000000001
2019-02-14,BRITANNIA,EQ,2923.4,2915.0,2949.0,2900.0,2940.6,2924.6,2918.97,288540,84224064185000.0,30062,157668,0.5464
2019-02-15,BRITANNIA,EQ,2924.6,2945.0,2945.0,2846.0,2859.0,2858.35,2873.39,374811,107697843359999.98,33755,207167,0.5527000000000001
2019-02-18,BRITANNIA,EQ,2858.35,2860.0,2939.0,2759.0,2927.1,2911.7,2852.98,700981,199988749340000.0,56430,293607,0.4189
2019-02-19,BRITANNIA,EQ,2911.7,2910.2,2975.95,2851.0,2880.0,2873.55,2922.17,484180,141485672320000.0,41741,134194,0.2772
2019-02-20,BRITANNIA,EQ,2873.55,2884.0,2930.0,2884.0,2929.0,2922.3,2907.45,271061,78809710470000.0,22341,115438,0.42590000000000006
2019-02-21,BRITANNIA,EQ,2922.3,2943.95,3018.0,2935.0,3011.05,3001.6,2988.44,724297,216451701615000.0,65466,447832,0.6183
2019-02-22,BRITANNIA,EQ,3001.6,3008.0,3057.3,2972.7,3012.0,3012.8,3030.48,313430,94984258545000.0,24056,148350,0.4733
2019-02-25,BRITANNIA,EQ,3012.8,3013.2,3077.0,2982.0,3056.0,3048.2,3032.36,336072,101909110735000.0,29769,171178,0.5093
2019-02-26,BRITANNIA,EQ,3048.2,3056.0,3092.95,3018.25,3075.0,3073.5,3067.1,568492,174362308470000.0,49973,224783,0.3954
2019-02-27,BRITANNIA,EQ,3073.5,3080.0,3108.95,3023.35,3060.0,3058.6,3067.58,393442,120691593825000.0,37341,181025,0.4601
2019-02-28,BRITANNIA,EQ,3058.6,3071.0,3098.6,3032.9,3059.0,3056.9,3058.08,447041,136708572540000.02,35541,308055,0.6890999999999999
2019-03-01,BRITANNIA,EQ,3056.9,3083.0,3090.35,3062.3,3074.0,3077.25,3075.55,217420,66868699800000.0,22725,138999,0.6393
2019-03-05,BRITANNIA,EQ,3077.25,3065.2,3100.25,3060.0,3070.0,3068.85,3076.76,246280,75774410220000.0,29731,135390,0.5497
2019-03-06,BRITANNIA,EQ,3068.85,3086.95,3086.95,3009.0,3025.5,3026.85,3043.85,383038,116591026390000.02,31771,223434,0.5833
2019-03-07,BRITANNIA,EQ,3026.85,3045.0,3069.0,3028.7,3034.95,3043.85,3049.86,254411,77591857305000.0,29616,147882,0.5813
2019-03-08,BRITANNIA,EQ,3043.85,3041.0,3079.5,3021.0,3071.25,3071.2,3049.52,190651,58139448390000.0,15409,89172,0.46770000000000006
2019-03-11,BRITANNIA,EQ,3071.2,3086.0,3139.5,3066.5,3135.0,3133.45,3109.09,336189,104524190460000.0,28878,176814,0.5259
2019-03-12,BRITANNIA,EQ,3133.45,3165.9,3178.8,3120.9,3125.05,3135.15,3151.78,413123,130207139059999.98,43106,233767,0.5659000000000001
2019-03-13,BRITANNIA,EQ,3135.15,3136.0,3150.0,3093.9,3122.0,3126.95,3117.8,298030,92919853615000.0,34002,175105,0.5875
2019-03-14,BRITANNIA,EQ,3126.95,3135.0,3170.0,3116.0,3151.0,3149.4,3151.06,293230,92398575540000.0,28736,156274,0.5329
2019-03-15,BRITANNIA,EQ,3149.4,3160.0,3169.0,3054.7,3070.0,3066.55,3103.87,403251,125163696840000.02,35640,272784,0.6765000000000001
2019-03-18,BRITANNIA,EQ,3066.55,3090.0,3134.9,3060.1,3129.5,3123.35,3092.24,238905,73875088650000.0,22113,113227,0.4739
2019-03-19,BRITANNIA,EQ,3123.35,3128.0,3138.85,3084.0,3122.0,3125.4,3111.23,184380,57364838370000.01,25402,99565,0.54
2019-03-20,BRITANNIA,EQ,3125.4,3126.8,3135.0,3079.4,3095.0,3088.1,3100.05,257001,79671598705000.0,24444,170535,0.6636
2019-03-22,BRITANNIA,EQ,3088.1,3094.0,3117.9,3088.0,3100.0,3098.6,3098.2,197654,61237176104999.99,16913,127415,0.6446
2019-03-25,BRITANNIA,EQ,3098.6,3074.75,3099.0,3061.1,3094.0,3090.75,3085.32,224948,69403716254999.99,22615,167010,0.7424
2019-03-26,BRITANNIA,EQ,3090.75,3100.0,3132.0,3060.0,3100.0,3099.15,3097.86,340645,105527164675000.0,34688,217900,0.6397
2019-03-27,BRITANNIA,EQ,3099.15,3117.0,3117.0,3078.0,3098.0,3096.9,3094.4,360838,111657592015000.02,39938,226146,0.6267
2019-03-28,BRITANNIA,EQ,3096.9,3092.0,3118.5,3028.0,3066.5,3096.55,3095.46,3470524,1074287927060000.0,87453,2843639,0.8194
2019-03-29,BRITANNIA,EQ,3096.55,3120.0,3139.0,3045.0,3083.85,3085.5,3091.69,595114,183990929280000.0,51449,307020,0.5159
2019-04-01,BRITANNIA,EQ,3085.5,3104.95,3109.0,3044.0,3046.0,3049.85,3071.67,497409,152787712120000.0,41570,285948,0.5749000000000001
2019-04-02,BRITANNIA,EQ,3049.85,3056.0,3059.6,2980.4,2995.85,2994.2,3006.77,378147,113700193665000.02,35290,177606,0.4697
2019-04-03,BRITANNIA,EQ,2994.2,2990.0,3013.5,2955.2,2988.55,2990.1,2987.08,439719,131347389870000.0,34887,213343,0.4852
2019-04-04,BRITANNIA,EQ,2990.1,3001.95,3055.0,2984.15,3050.0,3041.8,3024.55,464430,140469318555000.0,37836,267026,0.5750000000000001
2019-04-05,BRITANNIA,EQ,3041.8,3048.0,3051.05,2985.75,2998.0,2994.05,3006.01,387504,116483916130000.0,40681,196414,0.5069
2019-04-08,BRITANNIA,EQ,2994.05,3000.0,3013.95,2964.5,2973.0,2971.5,2983.99,293053,87446768220000.0,30422,160111,0.5464
2019-04-09,BRITANNIA,EQ,2971.5,2973.1,2988.75,2942.5,2967.85,2962.9,2963.0,350181,103758608055000.0,23999,207401,0.5922999999999999
2019-04-10,BRITANNIA,EQ,2962.9,2969.9,2995.0,2951.3,2964.0,2958.8,2964.52,377556,111927396970000.0,27334,227661,0.603
2019-04-11,BRITANNIA,EQ,2958.8,2964.0,2974.05,2940.0,2945.0,2946.05,2951.74,276801,81704534045000.0,19064,191153,0.6906
2019-04-12,BRITANNIA,EQ,2946.05,2952.0,2990.0,2944.0,2985.05,2984.3,2970.17,261483,77664950460000.0,20329,122516,0.4685
2019-04-15,BRITANNIA,EQ,2984.3,2998.0,3008.0,2972.0,2998.0,2998.45,2995.16,221766,66422451929999.99,15456,114122,0.5146000000000001
2019-04-16,BRITANNIA,EQ,2998.45,3000.0,3030.0,2998.0,3020.0,3020.5,3019.89,258557,78081485315000.0,22057,145094,0.5612
2019-04-18,BRITANNIA,EQ,3020.5,3029.85,3029.85,2988.15,2995.0,2997.75,3003.18,155314,46643519715000.0,14420,72334,0.4657
2019-04-22,BRITANNIA,EQ,2997.75,2989.0,3014.0,2971.0,2998.0,3000.15,2995.47,150447,45065917255000.0,14418,69404,0.46130000000000004
2019-04-23,BRITANNIA,EQ,3000.15,3002.0,3013.95,2986.35,2989.0,2991.0,2998.48,138140,41421066285000.0,9530,95499,0.6912999999999999
2019-04-24,BRITANNIA,EQ,2991.0,2988.0,2997.55,2952.05,2977.0,2978.2,2976.31,222279,66157193004999.99,24659,125350,0.5639000000000001
2019-04-25,BRITANNIA,EQ,2978.2,2988.0,2999.0,2962.65,2972.0,2969.25,2977.62,163138,48576342375000.0,17524,76857,0.4711
2019-04-26,BRITANNIA,EQ,2969.25,2990.0,2990.0,2955.0,2972.5,2967.7,2968.48,121340,36019475670000.0,14562,52711,0.4344
2019-04-30,BRITANNIA,EQ,2967.7,2970.0,2974.9,2876.05,2899.0,2896.05,2915.03,458803,133742463430000.0,35309,221987,0.48380000000000006
2019-05-02,BRITANNIA,EQ,2896.05,2927.0,2959.95,2772.0,2780.0,2783.05,2840.53,1439763,408968829135000.0,99716,441567,0.30670000000000003
2019-05-03,BRITANNIA,EQ,2783.05,2782.95,2803.85,2690.0,2702.5,2696.15,2733.09,1857697,507725265064999.94,126185,893342,0.48090000000000005
2019-05-06,BRITANNIA,EQ,2696.15,2699.0,2699.0,2654.45,2666.95,2666.0,2672.54,764919,204427728330000.0,84797,452586,0.5917
2019-05-07,BRITANNIA,EQ,2666.0,2683.0,2720.5,2644.7,2655.0,2650.55,2679.5,1182277,316791378360000.0,98933,632014,0.5346000000000001
2019-05-08,BRITANNIA,EQ,2650.55,2656.6,2667.1,2615.85,2657.0,2649.5,2638.2,723429,190855048765000.0,56110,345112,0.4771
2019-05-09,BRITANNIA,EQ,2649.5,2637.0,2689.8,2637.0,2672.0,2672.4,2671.33,457843,122304881984999.98,38134,143947,0.3144
2019-05-10,BRITANNIA,EQ,2672.4,2680.0,2725.0,2673.0,2675.0,2688.55,2697.34,471289,127122515880000.0,35922,223302,0.47380000000000005
2019-05-13,BRITANNIA,EQ,2688.55,2695.0,2707.6,2668.55,2674.0,2676.55,2685.4,332869,89388641225000.0,27747,157445,0.473
