Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-30,INFY,EQ,727.9,727.9,734.8,721.1,724.3,725.9,726.45,5763026,418655619195000.0,125751,3267862,0.5670000000000001
2019-01-31,INFY,EQ,725.9,726.0,751.3,726.0,750.0,749.55,744.47,13825233,1029242393485000.0,265809,8145259,0.5892000000000001
2019-02-01,INFY,EQ,749.55,751.35,762.5,744.5,756.7,757.05,753.37,6276585,472860832200000.0,119145,2274954,0.3625
2019-02-04,INFY,EQ,757.05,757.0,762.5,749.2,755.9,755.9,754.39,3945391,297636189665000.0,110537,1894178,0.48009999999999997
2019-02-05,INFY,EQ,755.9,747.0,759.95,747.0,755.0,754.85,753.48,4694366,353709484265000.0,98651,2610466,0.5561
2019-02-06,INFY,EQ,754.85,755.55,766.95,754.35,763.75,763.3,762.75,5880482,448536073514999.94,150791,3188901,0.5423
2019-02-07,INFY,EQ,763.3,763.05,769.45,761.0,763.0,764.0,766.2,3961797,303552237845000.0,102039,2154773,0.5439
2019-02-08,INFY,EQ,764.0,760.0,772.25,754.9,760.9,760.9,763.4,5915169,451562594430000.0,92824,2722938,0.46030000000000004
2019-02-11,INFY,EQ,760.9,766.9,768.75,759.0,760.45,762.8,764.82,5500216,420665329600000.0,101154,3149841,0.5727000000000001
2019-02-12,INFY,EQ,762.8,760.35,760.35,741.0,750.4,750.45,748.38,7310690,547118924060000.06,148513,3259568,0.4459
2019-02-13,INFY,EQ,750.45,750.1,759.7,743.65,754.0,754.9,753.01,5050182,380282136755000.0,133702,2418277,0.47880000000000006
2019-02-14,INFY,EQ,754.9,751.0,753.0,737.25,740.35,740.05,745.6,4610535,343761136995000.0,113149,2466085,0.5349
2019-02-15,INFY,EQ,740.05,742.3,746.5,732.6,742.05,741.95,739.44,5586389,413079566645000.0,93850,2900003,0.5191
2019-02-18,INFY,EQ,741.95,742.35,747.65,736.0,741.0,741.05,739.9,5346825,395611214795000.0,105532,3060004,0.5723
2019-02-19,INFY,EQ,741.05,739.1,740.55,721.3,724.0,724.3,726.7,9401334,683194083090000.0,124664,4041288,0.4299
2019-02-20,INFY,EQ,724.3,727.0,743.0,726.05,740.55,740.7,734.78,5210675,382868648605000.0,130965,2558375,0.49100000000000005
2019-02-21,INFY,EQ,740.7,738.0,738.0,727.1,734.0,733.45,732.23,7202786,527409739860000.06,151794,4504900,0.6254
2019-02-22,INFY,EQ,733.45,732.5,738.2,728.0,734.9,734.95,733.71,3750833,275204171300000.0,99246,1775166,0.4733
2019-02-25,INFY,EQ,734.95,735.55,758.0,735.55,755.0,754.9,749.2,6547552,490541391805000.0,155205,3296211,0.5034000000000001
2019-02-26,INFY,EQ,754.9,748.6,752.6,740.15,741.55,742.5,745.77,8319610,620452171405000.0,188778,5101741,0.6132
2019-02-27,INFY,EQ,742.5,745.0,746.4,732.75,734.5,735.25,738.56,5936354,438432458020000.0,181469,3554571,0.5988
2019-02-28,INFY,EQ,735.25,738.7,742.4,732.3,734.7,734.3,735.59,8559921,629661971360000.0,142436,4612032,0.5388000000000001
2019-03-01,INFY,EQ,734.3,735.5,743.4,735.5,741.8,741.9,740.0,3998826,295911594015000.0,86883,2141670,0.5356000000000001
2019-03-05,INFY,EQ,741.9,740.5,742.5,730.25,732.75,732.5,734.79,4826505,354646435400000.0,187167,2953053,0.6118
2019-03-06,INFY,EQ,732.5,736.1,736.1,727.0,732.25,732.5,732.02,6076668,444825445945000.0,201307,3216638,0.5293
2019-03-07,INFY,EQ,732.5,734.0,734.5,720.55,723.3,722.95,724.84,5951551,431390654950000.0,132988,3097595,0.5205
2019-03-08,INFY,EQ,722.95,722.95,722.95,710.65,713.2,712.35,714.77,7193994,514202317155000.0,154378,3414734,0.4747
2019-03-11,INFY,EQ,712.35,713.3,718.5,709.4,711.05,711.25,712.07,9932198,707239815050000.0,173911,6593102,0.6638
2019-03-12,INFY,EQ,711.25,709.0,714.95,705.6,706.75,706.95,708.99,11997387,850597796695000.0,224748,8806754,0.7341
2019-03-13,INFY,EQ,706.95,710.0,718.6,706.3,709.0,708.45,710.81,11348867,806689361650000.0,183506,5754904,0.5071
2019-03-14,INFY,EQ,708.45,714.0,714.9,706.2,708.45,708.35,710.02,6415187,455491114075000.0,158840,3794127,0.5914
2019-03-15,INFY,EQ,708.35,712.0,723.75,709.6,720.0,718.55,717.57,14638664,1050420779475000.0,174230,9286884,0.6344
2019-03-18,INFY,EQ,718.55,721.55,723.7,705.35,709.5,710.2,715.0,8065544,576688463240000.0,169894,4656010,0.5773
2019-03-19,INFY,EQ,710.2,712.8,726.5,707.4,725.9,722.25,715.22,8917337,637789794145000.0,165399,5704607,0.6397
2019-03-20,INFY,EQ,722.25,727.25,742.3,727.15,737.8,738.95,737.53,13471173,993536827645000.1,368666,6929551,0.5144
2019-03-22,INFY,EQ,738.95,745.0,746.35,732.3,745.0,743.1,741.4,8883260,658600978270000.0,186950,5182729,0.5834
2019-03-25,INFY,EQ,743.1,742.4,742.4,730.55,733.95,735.25,735.24,7644966,562090795485000.06,150353,4078146,0.5334000000000001
2019-03-26,INFY,EQ,735.25,735.25,735.25,719.1,727.8,727.75,724.65,9406261,681622109510000.0,220918,5868934,0.6239
2019-03-27,INFY,EQ,727.75,730.0,732.3,727.15,728.9,729.7,730.32,7387487,539519992075000.0,122789,5505910,0.7453000000000001
2019-03-28,INFY,EQ,729.7,730.0,745.0,730.0,739.1,737.8,739.73,9277241,686261674060000.0,187881,5521081,0.5951
2019-03-29,INFY,EQ,737.8,743.9,747.95,740.0,742.15,743.85,743.49,6924061,514799115400000.0,155083,4592403,0.6633
2019-04-01,INFY,EQ,743.85,742.0,760.0,742.0,753.75,755.1,754.32,6584982,496719955950000.0,149150,3788889,0.5754
2019-04-02,INFY,EQ,755.1,759.0,765.8,754.6,755.0,759.4,760.56,7283600,553962514255000.0,169885,4249666,0.5835
2019-04-03,INFY,EQ,759.4,756.0,758.5,746.8,751.65,753.3,752.48,6897127,518995576145000.0,200625,4213270,0.6109
