Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-30,LUPIN,EQ,860.65,861.0,872.5,861.0,868.0,866.9,867.58,930968,80768727630000.0,38013,404443,0.4344
2019-01-31,LUPIN,EQ,866.9,868.15,885.95,866.0,875.2,875.7,876.93,2347389,205850375465000.0,57274,1123289,0.47850000000000004
2019-02-01,LUPIN,EQ,875.7,879.7,888.0,870.3,881.0,883.1,880.12,1032450,90867587690000.0,31961,242526,0.2349
2019-02-04,LUPIN,EQ,883.1,882.95,888.65,848.55,849.5,855.9,865.7,1352120,117053417040000.02,42972,304840,0.2255
2019-02-05,LUPIN,EQ,855.9,855.5,855.5,830.35,835.8,837.7,840.48,1344930,113038809700000.0,34159,306538,0.2279
2019-02-06,LUPIN,EQ,837.7,838.0,851.5,805.0,847.5,842.1,830.5,6429178,533942269195000.0,124456,848261,0.1319
2019-02-07,LUPIN,EQ,842.1,832.0,844.55,810.4,822.85,822.8,823.64,3613894,297654436380000.0,77649,566187,0.1567
2019-02-08,LUPIN,EQ,822.8,822.0,836.3,805.1,834.75,830.75,820.67,2050927,168313452935000.0,41277,343061,0.1673
2019-02-11,LUPIN,EQ,830.75,821.5,829.75,808.0,820.0,820.5,819.05,1689390,138369904030000.0,37774,218713,0.1295
2019-02-12,LUPIN,EQ,820.5,822.55,824.75,806.25,812.8,810.95,815.89,1711425,139634064815000.02,56119,750135,0.43829999999999997
2019-02-13,LUPIN,EQ,810.95,816.0,820.0,782.55,791.0,791.4,794.8,2906224,230986916825000.0,68752,860559,0.2961
2019-02-14,LUPIN,EQ,791.4,793.05,812.0,790.5,808.65,810.2,803.91,1848763,148624813960000.0,40718,691388,0.374
2019-02-15,LUPIN,EQ,810.2,809.0,809.95,767.1,774.0,774.75,779.62,2939666,229181636655000.03,76039,1142811,0.38880000000000003
2019-02-18,LUPIN,EQ,774.75,778.1,785.0,760.5,773.0,770.9,770.34,2332485,179680453670000.0,69292,977968,0.4193
2019-02-19,LUPIN,EQ,770.9,776.0,776.0,761.1,762.2,763.1,765.79,1382541,105873358740000.0,36138,452373,0.3272
2019-02-20,LUPIN,EQ,763.1,766.0,768.45,752.6,762.9,762.65,762.29,1452620,110731544845000.0,37237,525254,0.3616
2019-02-21,LUPIN,EQ,762.65,760.55,772.0,755.0,770.2,769.8,761.68,1554032,118366907625000.0,29812,540006,0.34750000000000003
2019-02-22,LUPIN,EQ,769.8,771.95,782.65,767.05,774.5,777.7,775.14,1503832,116568522015000.02,40223,360844,0.2399
2019-02-25,LUPIN,EQ,777.7,778.0,784.8,770.5,776.0,777.45,778.07,1069147,83187464375000.0,22703,338909,0.317
2019-02-26,LUPIN,EQ,777.45,777.0,781.0,764.1,775.0,776.1,772.92,1303086,100718253560000.0,36421,333335,0.25579999999999997
2019-02-27,LUPIN,EQ,776.1,778.0,787.0,765.0,765.05,768.0,774.88,1370928,106230105925000.0,36676,407660,0.2974
2019-02-28,LUPIN,EQ,768.0,765.05,773.5,761.05,766.0,763.75,765.24,2419997,185188917240000.0,64841,974240,0.4026
2019-03-01,LUPIN,EQ,763.75,771.2,790.55,768.45,790.55,786.6,777.59,2349879,182725293125000.0,35836,1154049,0.4911
2019-03-05,LUPIN,EQ,786.6,791.55,791.6,778.1,785.2,784.6,784.37,1220769,95753032890000.0,32625,312043,0.2556
2019-03-06,LUPIN,EQ,784.6,786.0,794.6,781.05,787.5,789.05,788.1,1395812,110004106355000.0,34828,441158,0.3161
2019-03-07,LUPIN,EQ,789.05,788.0,803.5,785.3,792.0,792.0,796.68,1852651,147597246660000.0,42480,577371,0.3116
2019-03-08,LUPIN,EQ,792.0,797.9,799.8,775.35,776.0,779.15,790.53,1971916,155886252165000.0,42651,472530,0.2396
2019-03-11,LUPIN,EQ,779.15,780.8,797.0,779.25,794.85,795.3,790.13,1413263,111666750350000.0,35897,478417,0.3385
2019-03-12,LUPIN,EQ,795.3,794.55,810.8,794.55,800.7,800.6,803.84,2029769,163161942210000.0,47684,663074,0.32670000000000005
2019-03-13,LUPIN,EQ,800.6,802.0,805.45,757.0,765.0,763.3,776.2,3638081,282386076175000.0,72381,1378315,0.3789
2019-03-14,LUPIN,EQ,763.3,757.6,782.0,755.5,765.95,764.2,767.1,3897827,299003105400000.0,70236,855849,0.21960000000000002
2019-03-15,LUPIN,EQ,764.2,767.0,789.6,767.0,786.0,785.15,777.49,3651344,283886837445000.0,52116,2036288,0.5577000000000001
2019-03-18,LUPIN,EQ,785.15,762.2,762.85,740.0,753.9,754.2,751.01,4929178,370187880625000.0,104448,630094,0.1278
2019-03-19,LUPIN,EQ,754.2,753.9,765.8,751.5,755.7,755.05,759.65,1909056,145021349380000.0,43625,378273,0.1981
2019-03-20,LUPIN,EQ,755.05,758.0,759.9,747.05,755.5,753.4,752.27,1204781,90632207635000.0,29900,340663,0.2828
2019-03-22,LUPIN,EQ,753.4,755.0,758.0,740.25,743.8,743.2,748.31,1414802,105870635890000.0,61124,505116,0.35700000000000004
2019-03-25,LUPIN,EQ,743.2,743.8,745.95,727.0,731.0,729.05,733.1,2523406,184991869645000.0,51078,1317476,0.5221
2019-03-26,LUPIN,EQ,729.05,733.0,738.65,731.15,734.65,734.8,734.49,1444465,106093895645000.0,31894,632892,0.43810000000000004
2019-03-27,LUPIN,EQ,734.8,735.5,740.85,722.3,723.95,723.7,731.61,1881343,137640533815000.02,85164,676798,0.3597
2019-03-28,LUPIN,EQ,723.7,728.8,733.0,719.8,728.0,724.85,724.94,2916948,211460633445000.0,54710,1446012,0.49570000000000003
2019-03-29,LUPIN,EQ,724.85,731.0,745.45,730.0,738.95,739.6,738.97,2556737,188934826705000.0,58952,1120633,0.43829999999999997
