Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-30,TATAMOTORS,EQ,173.6,174.3,176.75,173.3,174.9,174.6,174.87,7757847,135663081280000.0,63499,2160300,0.2785
2019-01-31,TATAMOTORS,EQ,174.6,175.8,183.9,175.8,179.95,181.2,178.7,22277646,398104018560000.0,102976,12360263,0.5548
2019-02-01,TATAMOTORS,EQ,181.2,182.0,185.9,179.55,182.0,181.65,182.8,14931422,272949247130000.03,109454,3791177,0.2539
2019-02-04,TATAMOTORS,EQ,181.65,181.0,183.7,178.2,181.2,180.25,180.7,11854351,214210768025000.0,74380,2237533,0.1888
2019-02-05,TATAMOTORS,EQ,180.25,180.7,181.15,174.7,176.0,175.8,176.67,12064426,213141582265000.0,77228,2467735,0.2045
2019-02-06,TATAMOTORS,EQ,175.8,176.0,179.45,171.9,179.1,178.5,175.68,10334594,181558858480000.0,65918,1515052,0.1466
2019-02-07,TATAMOTORS,EQ,178.5,179.0,185.0,178.9,183.2,182.85,182.49,16152722,294775776065000.0,107038,2606029,0.1613
2019-02-08,TATAMOTORS,EQ,182.85,164.6,164.6,129.0,150.15,150.7,151.25,102256857,1546631739330000.0,550656,20563700,0.2011
2019-02-11,TATAMOTORS,EQ,150.7,150.15,153.25,145.85,153.0,152.65,150.22,26161867,392999377470000.0,148949,5181023,0.198
2019-02-12,TATAMOTORS,EQ,152.65,152.95,154.4,150.6,152.0,151.8,152.54,14174912,216230669969999.97,89715,3436432,0.24239999999999998
2019-02-13,TATAMOTORS,EQ,151.8,152.95,156.65,151.5,155.15,155.0,154.33,15340343,236745130555000.03,92166,5843988,0.381
2019-02-14,TATAMOTORS,EQ,155.0,155.95,161.0,153.8,159.45,159.85,157.41,16348306,257337548319999.97,102639,3643168,0.22280000000000003
2019-02-15,TATAMOTORS,EQ,159.85,159.8,162.3,153.15,162.2,161.65,157.95,20705576,327044037100000.0,117116,6798429,0.3283
2019-02-18,TATAMOTORS,EQ,161.65,162.8,163.45,159.2,163.1,162.9,161.34,13503666,217874314930000.03,82838,3886128,0.2878
2019-02-19,TATAMOTORS,EQ,162.9,164.0,165.95,161.55,164.9,163.75,164.08,14533142,238459702555000.03,84846,3620670,0.24910000000000002
2019-02-20,TATAMOTORS,EQ,163.75,164.45,166.7,163.75,164.7,164.8,165.06,11610728,191651917635000.0,97537,3684017,0.3173
2019-02-21,TATAMOTORS,EQ,164.8,165.6,170.6,165.1,170.0,169.7,168.15,14811723,249059224294999.97,155893,3588724,0.24230000000000002
2019-02-22,TATAMOTORS,EQ,169.7,170.0,175.3,167.85,174.9,174.3,171.72,13011477,223427163115000.0,82739,3475045,0.2671
2019-02-25,TATAMOTORS,EQ,174.3,175.15,177.5,173.5,176.3,175.75,175.23,15554532,272561112425000.0,114084,5350553,0.344
2019-02-26,TATAMOTORS,EQ,175.75,173.0,183.45,172.5,183.0,182.65,180.05,31859427,573628084875000.0,174362,11539174,0.3622
2019-02-27,TATAMOTORS,EQ,182.65,183.55,186.1,176.1,176.75,177.35,180.48,19723906,355969194110000.0,134393,4286378,0.21730000000000002
2019-02-28,TATAMOTORS,EQ,177.35,180.0,181.55,176.6,177.1,177.45,179.06,18692372,334704133240000.0,146754,6605500,0.35340000000000005
2019-03-01,TATAMOTORS,EQ,177.45,178.65,184.0,177.35,180.05,180.3,180.45,20539919,370634625575000.0,118041,2312099,0.1126
2019-03-05,TATAMOTORS,EQ,180.3,183.8,198.35,181.4,193.4,194.05,192.19,58138551,1117390938300000.0,328690,9101321,0.1565
2019-03-06,TATAMOTORS,EQ,194.05,195.4,195.4,187.75,189.4,188.8,190.86,22468702,428848666720000.0,134553,6932034,0.3085
2019-03-07,TATAMOTORS,EQ,188.8,191.4,193.45,187.8,190.3,189.3,190.37,27051501,514984561005000.0,172177,6948538,0.2569
2019-03-08,TATAMOTORS,EQ,189.3,187.8,187.95,180.0,180.7,181.2,183.15,28012914,513059816760000.06,172839,7913793,0.28250000000000003
2019-03-11,TATAMOTORS,EQ,181.2,182.0,184.6,181.05,181.85,181.85,182.3,25669662,467964271885000.06,102474,9540397,0.37170000000000003
2019-03-12,TATAMOTORS,EQ,181.85,184.4,186.0,183.55,184.45,184.8,184.93,18657724,345039490885000.0,111319,5613739,0.3009
2019-03-13,TATAMOTORS,EQ,184.8,184.45,184.9,180.4,181.35,181.7,182.05,9769821,177862250725000.0,63017,2064034,0.2113
2019-03-14,TATAMOTORS,EQ,181.7,181.5,182.45,177.65,179.4,179.55,180.1,15737080,283432182890000.0,94756,3630297,0.23070000000000002
2019-03-15,TATAMOTORS,EQ,179.55,180.2,181.4,177.6,180.0,180.0,179.4,17490993,313788707505000.0,87698,9214225,0.5268
2019-03-18,TATAMOTORS,EQ,180.0,181.0,184.7,179.5,182.2,182.25,182.82,14690339,268564129194999.97,129888,3545848,0.2414
2019-03-19,TATAMOTORS,EQ,182.25,182.0,184.5,180.75,182.85,182.85,182.57,10318028,188376631040000.0,80379,2340267,0.2268
2019-03-20,TATAMOTORS,EQ,182.85,183.0,183.45,179.6,180.2,180.2,181.31,7543753,136773775750000.0,46582,2350929,0.3116
2019-03-22,TATAMOTORS,EQ,180.2,181.95,182.0,174.9,175.3,175.4,178.13,11505994,204956852545000.0,77535,3797240,0.33
2019-03-25,TATAMOTORS,EQ,175.4,173.7,173.8,170.55,171.0,171.3,172.2,11864723,204310457140000.0,80412,3391982,0.2859
2019-03-26,TATAMOTORS,EQ,171.3,171.9,173.6,171.6,173.3,173.1,172.48,7820112,134877388015000.02,54484,2704233,0.3458
2019-03-27,TATAMOTORS,EQ,173.1,174.0,175.0,169.15,169.75,169.85,171.96,10047628,172774142675000.0,65187,3139071,0.3124
2019-03-28,TATAMOTORS,EQ,169.85,169.0,171.4,167.55,170.9,170.55,169.93,13203927,224374763994999.97,97478,2600906,0.197
2019-03-29,TATAMOTORS,EQ,170.55,171.15,177.05,171.0,173.9,174.25,174.87,17780440,310927067415000.0,112368,4617391,0.2597
2019-04-01,TATAMOTORS,EQ,174.25,176.35,189.75,176.35,187.3,187.35,185.06,46389181,858457655450000.0,241946,7908028,0.1705
2019-04-02,TATAMOTORS,EQ,187.35,188.05,204.4,185.3,203.5,202.95,197.22,100834335,1988683496080000.0,459286,11509596,0.11410000000000001
2019-04-03,TATAMOTORS,EQ,202.95,205.0,208.95,199.2,201.8,201.35,204.7,81779620,1673999438890000.0,370107,13086058,0.16
2019-04-04,TATAMOTORS,EQ,201.35,201.85,206.9,201.05,206.3,206.15,204.35,41268908,843350390500000.0,229445,7515979,0.1821
2019-04-05,TATAMOTORS,EQ,206.15,208.0,209.5,202.3,205.85,205.15,205.24,32057373,657934391855000.0,168573,4266914,0.1331
2019-04-08,TATAMOTORS,EQ,205.15,206.0,207.4,198.8,201.9,200.55,202.8,23877595,484230495445000.0,128483,6151584,0.2576
2019-04-09,TATAMOTORS,EQ,200.55,200.0,207.6,198.15,207.0,205.9,203.68,29611268,603115027610000.0,163842,4938370,0.1668
2019-04-10,TATAMOTORS,EQ,205.9,206.0,217.4,205.6,215.8,216.05,213.58,69349488,1481192270480000.0,351825,14698693,0.212
